Week Ending,Year,Total Volume,California,Chile,Mexico,Peru,Colombia,Dominican Republic
1/10/2021,2021,65479250,0,0,65379249,0,100000,0
1/17/2021,2021,78395979,0,0,78245979,0,150000,0
1/24/2021,2021,73878325,396135,0,73432189,0,50000,0
1/31/2021,2021,60797387,233880,0,60563507,0,0,0
2/7/2021,2021,43169707,223290,0,42946416,0,0,0
2/14/2021,2021,54404321,522465,0,53881855,0,0,0
2/21/2021,2021,58759609,1475955,0,57243653,0,40000,0
2/28/2021,2021,61732359,3433895,0,58258464,0,40000,0
3/7/2021,2021,57772580,3661999,0,54070581,0,40000,0
3/14/2021,2021,61007381,2700390,0,58266990,0,40000,0
3/21/2021,2021,59421985,4830498,0,54591486,0,0,0
3/28/2021,2021,64465083,7784857,0,56680226,0,0,0
4/4/2021,2021,38314144,9109148,0,29204995,0,0,0
4/11/2021,2021,56178007,10002708,0,46087890,47407,40000,0
4/18/2021,2021,69888967,12628728,0,57021421,238817,0,0
4/25/2021,2021,63507169,12074580,0,51241179,191409,0,0
5/2/2021,2021,54875519,11559832,0,43227685,48001,40000,0
5/9/2021,2021,55710038,11622413,0,43474243,573381,40000,0
5/16/2021,2021,59024734,11685439,0,46917660,381634,40000,0
5/23/2021,2021,65731567,11540675,0,51916784,2274107,0,0
5/30/2021,2021,48698202,12370408,0,31356892,4880901,90000,0
6/6/2021,2021,46206955,8261165,0,32749871,5195918,0,0
6/13/2021,2021,72677006,11341935,0,50707969,10537101,90000,0
6/20/2021,2021,60416505,9574143,0,43331450,7470911,40000,0
6/27/2021,2021,60951584,8769412,0,36204808,15597364,380000,0
7/4/2021,2021,57016931,8414555,0,35336506,13075869,190000,0
7/11/2021,2021,56773376,6562671,0,34972803,14957902,280000,0
7/18/2021,2021,57733847,9577026,0,34379303,13397517,380000,0
7/25/2021,2021,62892468,10743816,0,37926804,13781847,440000,0
8/1/2021,2021,54454784,10161399,0,31293918,12699467,300000,0
8/8/2021,2021,44486811,8887819,0,22079416,12989575,530000,0
8/15/2021,2021,51183436,7362548,0,32043974,11730913,46000,0
8/22/2021,2021,51182028,6876017,0,33313943,10702067,290000,0
8/29/2021,2021,47259057,6384817,0,31653012,8921227,300000,0
9/5/2021,2021,40241418,4827598,0,28311210,6952609,150000,0
9/12/2021,2021,42453646,2474852,0,33601991,5996803,380000,0
9/19/2021,2021,47620760,2066686,0,37584023,7650050,320000,0
9/26/2021,2021,63218153,1363247,45000,56102858,5517046,190000,0
10/3/2021,2021,49412451,75188,50000,46242779,2894483,150000,0
10/10/2021,2021,38108665,0,560000,36302306,1106358,140000,0
10/17/2021,2021,47338609,0,610000,46728608,0,0,0
10/24/2021,2021,58631906,0,290000,58341905,0,0,0
10/31/2021,2021,45992783,0,1880000,44112783,0,0,0
11/7/2021,2021,50652973,0,1160000,49492973,0,0,0
11/14/2021,2021,57957018,0,300000,57657017,0,0,0
11/21/2021,2021,45445269,6545,1190000,44248724,0,0,0
11/28/2021,2021,41201304,0,150000,41051304,0,0,0
12/5/2021,2021,45061799,0,1250000,43711799,0,100000,0
12/12/2021,2021,47337624,0,0,46847623,0,490000,0
12/19/2021,2021,51599854,0,1080000,50229854,0,290000,0
12/26/2021,2021,43522453,4600,0,43427852,0,90000,0
1/2/2022,2021,44868865,0,140000,44028865,0,340000,360000
1/5/2020,2020,32537444,37220,159041,32291182,0,50000,0
1/12/2020,2020,65307572,319866,177780,64809925,0,0,0
1/19/2020,2020,76375629,1604707,222755,74498167,0,50000,0
1/26/2020,2020,66647112,2822485,0,63774627,0,50000,0
2/2/2020,2020,45414983,2704489,0,42710494,0,0,0
2/9/2020,2020,29476898,2489304,0,26987593,0,0,0
2/16/2020,2020,50713581,5257159,0,45456422,0,0,0
2/23/2020,2020,60175473,6454635,0,53720838,0,0,0
3/1/2020,2020,56195818,9785442,0,46410376,0,0,0
3/8/2020,2020,47119478,8249788,0,38869689,0,0,0
3/15/2020,2020,48039847,3868964,0,44120882,50000,0,0
3/22/2020,2020,54765620,8086208,0,46679412,0,0,0
3/29/2020,2020,36225538,8323661,0,27901876,0,0,0
4/5/2020,2020,24392863,7933743,0,16174674,284446,0,0
4/12/2020,2020,24945091,3115152,0,21687715,142223,0,0
4/19/2020,2020,65731766,15741055,0,49706264,284446,0,0
4/26/2020,2020,70861471,16932573,0,53786674,142223,0,0
5/3/2020,2020,57343819,17453801,0,39463348,426669,0,0
5/10/2020,2020,68814562,17353081,0,50608141,853338,0,0
5/17/2020,2020,54720342,14715907,0,38724426,1280008,0,0
5/24/2020,2020,51932040,16615963,0,33372360,1943716,0,0
5/31/2020,2020,51667453,11861004,0,35634569,4171879,0,0
6/7/2020,2020,54322214,12247478,0,33956728,8022343,95663,0
6/14/2020,2020,64385710,13344459,0,39424664,11425260,191326,0
6/21/2020,2020,65624404,13754827,0,39545860,12136375,187340,0
6/28/2020,2020,67186115,15228590,0,35035819,16687516,234188,0
7/5/2020,2020,55217288,11780040,0,26616471,16634420,186356,0
7/12/2020,2020,52258875,11391217,0,25273369,15360100,234188,0
7/19/2020,2020,55528282,10130158,0,29182989,16023808,191326,0
7/26/2020,2020,59549678,9483748,0,36790367,12992559,283003,0
8/2/2020,2020,61589035,9301142,0,38468421,13484651,334820,0
8/9/2020,2020,52326427,9553079,0,32109326,10524513,139508,0
8/16/2020,2020,45333672,8693483,0,28246903,8154127,239157,0
8/23/2020,2020,54176904,7873941,0,39333180,6874119,95663,0
8/30/2020,2020,48717827,8494500,0,34643071,5451887,128368,0
9/6/2020,2020,52693480,8453470,0,39925907,4314102,0,0
9/13/2020,2020,50284383,5945695,50794,41917507,2370385,0,0
9/20/2020,2020,45986305,6779219,198945,38249616,758523,0,0
9/27/2020,2020,56022215,5944327,551263,49431809,94815,0,0
10/4/2020,2020,52210342,3964963,456910,47788469,0,0,0
10/11/2020,2020,56934734,2412058,405483,54117193,0,0,0
10/18/2020,2020,55700190,2203774,255824,52907739,0,332851,0
10/25/2020,2020,55363816,1974640,131219,52925105,0,332851,0
11/1/2020,2020,49583231,1314534,0,48220715,0,47981,0
11/8/2020,2020,42926514,1634969,0,41148050,0,143494,0
11/15/2020,2020,56990553,1390168,0,55600384,0,0,0
11/22/2020,2020,51684524,1239004,0,50445520,0,0,0
11/29/2020,2020,51583230,1193940,0,50389290,0,0,0
12/6/2020,2020,48362546,999980,0,47362565,0,0,0
12/13/2020,2020,46412939,122100,0,46130838,0,160000,0
12/20/2020,2020,53259676,0,0,53259675,0,0,0
12/27/2020,2020,44512948,0,0,44512948,0,0,0
1/3/2021,2020,44852746,0,0,44852745,0,0,0
1/9/2022,2022,55651097,93645,0,54732452,0,340000,485000
1/16/2022,2022,56972754,561610,100000,56035143,0,100000,176000
1/23/2022,2022,60960294,2995383,0,57869248,0,95663,
1/30/2022,2022,59674481,5184868,440000,53858286,0,191326,
2/6/2022,2022,52250685,5577043,500000,45647496,0,526146,
2/13/2022,2022,29846440,4051727,440000,24206759,0,1147954,
2/20/2022,2022,25157287,7567540,490000,16095286,0,1004460,
2/27/2022,2022,58271839,8065752,1310000,48178614,0,717472,
3/6/2022,2022,64302124,7615250,1270000,54699401,0,717472,
3/13/2022,2022,56975164,8002957,940000,47793049,0,239157,
3/20/2022,2022,48614736,7576490,320000,39761617,0,956629,
3/27/2022,2022,40100200,6952970,660000,32010186,142223,334820,
4/3/2022,2022,46317735,5472317,750000,39730490,221434,143494,
4/10/2022,2022,52081268,8757166,180000,42523988,189630,430483,
4/17/2022,2022,33205122,11074596,90000,21667046,134322,239157,
4/24/2022,2022,62749382,13582443,100000,48592013,379261,95663,
5/1/2022,2022,57919043,15179931,0,42261450,238504,239157,
5/8/2022,2022,45667793,14357970,0,29731474,573888,1004460,
5/15/2022,2022,42380249,12408200,0,27550590,1943144,478314,
5/22/2022,2022,46739111,12076707,0,30561240,3383691,717471,
5/29/2022,2022,49573999,13654702,0,29521254,6206715,191325,
6/5/2022,2022,42728546,9778625,0,23460062,8772387,717471,
6/12/2022,2022,40662330,11579045,0,17688410,9577280,1817594,
6/19/2022,2022,41373831,11341954,0,14697048,13182414,2152414,
6/26/2022,2022,47400444,10692633,0,19316087,15430635,1961088,
7/3/2022,2022,64115120,11415143,0,33109370,16529394,3061211,
7/10/2022,2022,58169999,8920795,0,24972014,20833326,3443863,
7/17/2022,2022,64397203,9133156,0,31718757,21058054,2487234,
7/24/2022,2022,48700110,6484828,0,22152392,17910474,2152414,
7/31/2022,2022,52421628,4243337,0,26763669,19884014,1530605,
8/7/2022,2022,60783239,2357179,0,33205164,22494504,2726391,
8/14/2022,2022,58932538,2234021,0,35789688,20813165,95662,
8/21/2022,2022,55789973,2082533,0,34942839,18238454,526145,
8/28/2022,2022,56837142,1760630,0,38907808,16025209,143494,
9/4/2022,2022,57086709,1365900,0,42826045,12512112,382651,
9/11/2022,2022,54514673,484625,0,45495387,8391166,143494,
9/18/2022,2022,48034844,455125,0,38719690,8860028,0,
9/25/2022,2022,52435996,345600,0,46780257,5310138,0,
10/2/2022,2022,55752139,345600,380661,50837675,4082752,105450,
10/9/2022,2022,56596176,14400,472721,53786126,2275096,47831,
10/16/2022,2022,46626933,0,573041,45105314,900746,47831,
10/23/2022,2022,49982037,0,751152,49000406,94815,95663,40000
10/30/2022,2022,54684203,0,656523,53802016,0,95663,130000
11/6/2022,2022,53028972,0,706422,52094717,0,47831,180000
11/13/2022,2022,60778909,0,701140,59381622,0,526145,170000
11/20/2022,2022,45218148,0,745916,43821748,0,430482,220000
11/27/2022,2022,37983552,0,701308,36339109,0,813134,130000
12/4/2022,2022,49643306,0,790192,48374799,0,239157,239157
12/11/2022,2022,54782744,239157,506842,53667587,0,239157,130000
12/18/2022,2022,53473545,0,506842,52511882,0,334820,120000
12/25/2022,2022,55735887,0,193971,55071915,0,260000,210000
1/1/2023,2022,52638823,0,365405,52013417,0,260000,0
